NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Shardha Traders,+(91)9152840028,4.7,9,"Shop No-B-102, Gali No-1, Barwala, Delhi - 110039, Near Gate No-1, Jain Colony",Delhi,Grocery Stores
Mehta Enterprises,+(91)1244037633,3.5,2,"G-103, Sapphire  83 Mall, Gurgaon Sector 83, gurgaon - 122004, Near Inox",Delhi,Grocery Stores
Rameswar Dayal & Sons,+(91)9152131828,5.0,1,"B-69/2, Gali Number-7, Shastri Park, Delhi - 110053, Near Jain Mandir",Delhi,Grocery Stores
Jigyasa Store,+(91)7011973896,2.4,5,"Shop No-1, Shri Radhe Lal Market, Sector 135, Noida - 201304, Near Shivalik Bank",Delhi,Grocery Stores
Ganpati Traders,+(91)9152860696,3.5,2,"Shop No 1 Anaj Mandi Gate K Samane Masjid Wali Gali, Dadri Noida, Noida - 203207, Near By Anaj Mandi Gate",Delhi,Grocery Stores
Debon,+(91)9152915517,4.2,502,"D 1, Alaknanda Shopping Complex, Noida Sector 28, Noida - 201303",Delhi,Grocery Stores
S M City Bazar,+(91)9152273712,5.0,4,"174, Avtar Enclave , Opposite Dominoz, Paschim Vihar, Delhi - 110063, Near Bikaner Corner",Delhi,Grocery Stores
Big Mart Retail Solutions P..,+(91)9152294401,3.8,180,"20 A 1, Old Mehraulii Road, Palam Colony, Delhi - 110045, Raj Nagar Part II",Delhi,Grocery Stores
Daily Needs,+(91)1141745500,4.0,822,"45,Corner Market, Malviya Nagar, Delhi - 110017",Delhi,Grocery Stores
Babu Store,+(91)9152473541,3.6,6,"612 G Nyay Khand -3rd, Indirapuram, Ghaziabad - 201014, Near Vivekanand School",Delhi,Grocery Stores
Megrocery,+(91)9152823660,3.5,2,"Shop No. K2/6 KLJ Society, Sector -77, Faridabad Sector 77, Faridabad - 121004",Delhi,Grocery Stores
Jaideep Mega Store,+(91)9152316777,4.4,703,"Shop-154, Mangolpur Kalan, Rohini Sector 2, Delhi - 110085, Opp. - Pocket 4, Near Jain Sweet Wali Gali and Maruti Service Station",Delhi,Grocery Stores
Mehta Enterprises,+(91)1244037633,3.5,2,"G-103, Sapphire  83 Mall, Gurgaon Sector 83, gurgaon - 122004, Near Inox",Delhi,Grocery Stores
Bachat Bazaar,+(91)9152385010,4.8,61,"G-27/206-207, Rohini Sector 3, Rohini, Delhi - 110085, Near St Giri Senior Secondary School",Delhi,Grocery Stores
Variety Store,+(91)9152116551,4.2,15,"Shop No-5 & 6, D-Block Market, South City 2, Gurgaon - 122018",Delhi,Grocery Stores
Ram Narain Suresh Kumar,+(91)9152158196,4.5,3,"Shop No 403, Main Road Near Katra Paidan, Khari Baoli, Delhi - 110006, Opposite Gadodia Market",Delhi,Grocery Stores
Jigyasa Store,+(91)7011973896,2.4,5,"Shop No-1, Shri Radhe Lal Market, Sector 135, Noida - 201304, Near Shivalik Bank",Delhi,Grocery Stores
Bakington The Pastry Shop,+(91)1145066550,4.2,1968,"A 3/230, Janakpuri, Delhi - 110058, Opposite St Francis School",Delhi,Grocery Stores
Aggarwal Super Mart,+(91)1141043299,4.1,1026,"A-3/86,87, Mota Singh Road, Janakpuri, Delhi - 110058, Near St Francis School",Delhi,Grocery Stores
Babu Store,+(91)9152473541,3.6,6,"612 G Nyay Khand -3rd, Indirapuram, Ghaziabad - 201014, Near Vivekanand School",Delhi,Grocery Stores
Sumer Chand Tara Chand,+(91)9152303132,3.8,29,"Shop No-68/3, Sadar Bazaar, Basai Road, Gurgaon - 122001, Near Zevar Mahal",Delhi,Grocery Stores
Megrocery,+(91)9152823660,3.5,2,"Shop No. K2/6 KLJ Society, Sector -77, Faridabad Sector 77, Faridabad - 121004",Delhi,Grocery Stores
Bachat Bazaar,+(91)9152385010,4.8,61,"G-27/206-207, Rohini Sector 3, Rohini, Delhi - 110085, Near St Giri Senior Secondary School",Delhi,Grocery Stores
Modern Bazaar,+(91)9152478089,4.0,842,"47, North Avenue, Club Road, Punjabi Bagh, delhi - 110026",Delhi,Grocery Stores
Variety Store,+(91)9152116551,4.2,15,"Shop No-5 & 6, D-Block Market, South City 2, Gurgaon - 122018",Delhi,Grocery Stores
Bakington The Pastry Shop,+(91)1145066550,4.2,1968,"A 3/230, Janakpuri, Delhi - 110058, Opposite St Francis School",Delhi,Grocery Stores
Daily Delite,+(91)9152428108,4.0,225,"Building No. 98, F Block,Central Market, Kirti Nagar, Delhi - 110015",Delhi,Grocery Stores
Modern Bazaar,+(91)9152410724,4.2,1111,"15, Community Center, New Friends Colony, Delhi - 110025, Behind Surya Sofitel Hotel",Delhi,Grocery Stores
Max Super Marche,+(91)9818950767,4.3,39,"A-7, Krishna Tower, Palam Vihar, Gurgaon - 122017, Near By Mahindra Aura Apartments",Delhi,Grocery Stores
New Amit Bakers,+(91)01125157622,4.1,114,"3/14 A, Main Market, Moti Nagar, Delhi - 110015, Near Fun Cinema",Delhi,Grocery Stores
